OBJECTID,GEOID20,GROSS_ACRES,LAND_ACRES,WATER_ACRES,NAME,TRACT_NUMB,BASENAME,UVDA_AREA,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,C_DISTRICT,SHAPE_Length,SHAPE_Area
195,53033007902,106.556915369304,106.562713188624,0,Census Tract 79.02,7902,79.02,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,9715.12087740264,4641637.80002308
196,53033009100,101.461606684613,101.466658903604,0,Census Tract 91,9100,91,Center City,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",2,10608.3854115204,4419685.26590521
197,53033010302,156.20733546581,156.211867778595,0,Census Tract 103.02,10302,103.02,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,11267.2532000827,6804418.75054294
198,53033010402,430.661566945265,430.672803558472,0,Census Tract 104.02,10402,104.02,Outside - Southeast,3.5,3,Beacon Hill,Beacon Hill,2,18925.0430066197,18759692.8948335
199,53033010702,192.766143373939,192.770614777581,0,Census Tract 107.02,10702,107.02,Morgan Junction,2.2,2,High Point,"High Point, Delridge",1,14935.9302412484,8396926.79304659
303,53033001202,202.963970231745,202.978785197425,0,Census Tract 12.02,1202,12.02,Northgate,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5,13324.990092597,8841145.90785564
304,53033001400,529.6899543242,531.960311060406,52.7295702771684,Census Tract 14,1400,14,Crown Hill,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",5,30536.3031296549,23073386.7038018
305,53033001600,472.344142018906,499.241334586316,79.1028805514182,Census Tract 16,1600,16,Crown Hill,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",5,23146.797265959,20575393.127846
306,53033001701,220.59200295169,220.60777733251,0,Census Tract 17.01,1701,17.01,Greenwood - Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5,17164.4547776423,9609026.0846508
307,53033002600,307.575449581937,300.635079116545,6.96219412696633,Census Tract 26,2600,26,Green Lake - Roosevelt,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,15933.937900155,13398040.1758954
308,53033003201,273.816746873411,284.684920944144,334.65481831945,Census Tract 32.01,3201,32.01,Ballard,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6,32047.8061815366,11927505.2037897
309,53033004800,317.581062750769,315.881975372875,6.64367529006626,Census Tract 48,4800,48,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",6,18822.2362776434,13833886.4289095
310,53033005202,65.7755320137234,66.5291703133861,4.761226492933,Census Tract 52.02,5202,52.02,University District,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",4,7845.30252446057,2865193.63527695
311,53033006000,325.039233771895,331.282571176568,39.7231785159306,Census Tract 60,6000,60,Outside - West,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,19123.0334016906,14158765.6581103
312,53033007302,77.3359915123054,77.3392894428412,0,Census Tract 73.02,7302,73.02,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7,7802.42635391176,3368769.26534297
313,53033008003,48.7152255083079,48.7173201959065,0,Census Tract 80.03,8003,80.03,Center City,13.1,13,Belltown,"Belltown, Denny Regrade",7,8720.99942149516,2122043.71130831
314,53033008700,180.968357150311,180.976274913158,0,Census Tract 87,8700,87,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,11432.3842123557,7883013.16949212
315,53033009300,2345.52742947801,2333.69040555187,157.912941225624,Census Tract 93,9300,93,Duwamish - Georgetown,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",1,53946.3759930635,102171583.513989
