OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN_HEAT_INDEX
436,17031030706,436,3847,384700,84.97769932
437,17031031200,437,3258,325800,87.43046009
438,17031031300,438,6314,631400,86.34224709
439,17031030604,439,1819,181900,82.84301613
440,17031031400,440,14870,1487000,87.300722
441,17031031100,441,5497,549700,87.40485858
442,17031030101,442,1229,122900,83.25295651
443,17031030500,443,6176,617600,85.06213061
444,17031030102,444,1142,114200,83.00721113
445,17031030601,445,1390,139000,83.92703213
446,17031030103,446,875,87500,82.43984052
447,17031151200,447,6561,656100,89.24850669
448,17031150800,448,6600,660000,88.92324672
449,17031190402,449,6537,653700,89.6726191
450,17031062500,450,1620,162000,89.24673975
451,17031151002,451,6377,637700,88.6563273
452,17031151100,452,6603,660300,89.428783
453,17031161200,453,5174,517400,88.35868663
454,17031190200,454,6598,659800,88.90524785
455,17031190300,455,6605,660500,89.09510394
456,17031831700,456,5324,532400,88.3404371
457,17031161300,457,4964,496400,88.33865049
458,17031210400,458,4207,420700,88.52749253
459,17031191000,459,4344,434400,88.90856585
460,17031190702,460,3846,384600,89.36346025
461,17031190602,461,6207,620700,89.72750738
462,17031190800,462,6611,661100,89.14479977
463,17031190900,463,3141,314100,88.92740795
464,17031050800,464,1643,164300,89.1424175
465,17031191100,465,8204,820400,88.85774657
466,17031040800,466,2276,227600,86.69629204
467,17031031900,467,2551,255100,86.84388673
468,17031031800,468,2377,237700,87.83162396
469,17031040201,469,7214,721400,87.33033366
470,17031040402,470,6043,604300,87.62343463
471,17031050100,471,3331,333100,88.20701103
472,17031040700,472,3591,359100,86.9337552
473,17031060500,473,2277,227700,87.95530887
474,17031050200,474,6522,652200,88.65460254
475,17031140800,475,7263,726300,87.1969258
476,17031050300,476,3945,394500,88.12752724
477,17031060100,477,3257,325700,87.43501449
478,17031160602,478,5900,590000,87.61069155
479,17031843700,479,12657,1265700,88.27934236
480,17031060400,480,3249,324900,88.38677551
481,17031210900,481,5725,572500,88.95206955
482,17031830700,482,8660,866000,86.50491566
483,17031031700,483,4768,476800,85.74682653
484,17031831900,484,3246,324600,88.81635803
485,17031051200,485,1654,165400,89.21205978
486,17031050700,486,1628,162800,89.12369817
487,17031050600,487,3318,331800,88.44031646
488,17031062600,488,3283,328300,89.67589593
489,17031062700,489,3254,325400,89.32955425
490,17031051300,490,3229,322900,89.33519149
491,17031050900,491,1619,161900,88.32782633
492,17031051000,492,1667,166700,88.50690987
493,17031050500,493,6521,652100,88.12128684
494,17031110300,494,12123,1212300,89.55794276
495,17031110400,495,9338,933800,89.14084794
496,17031150200,496,13247,1324700,88.00008415
497,17031150501,497,6977,697700,88.75511909
498,17031150300,498,13243,1324300,87.59291863
499,17031150401,499,7373,737300,88.85784757
500,17031020802,500,6429,642900,86.99198537
501,17031171100,501,6655,665500,89.11529251
502,17031150402,502,6615,661500,89.19056709
503,17031150502,503,6829,682900,89.09635507
504,17031832100,504,2226,222600,87.68091386
505,17031150600,505,6551,655100,89.09136551
506,17031150700,506,6635,663500,89.30644174
507,17031170100,507,10067,1006700,87.39546531
508,17031170200,508,6520,652000,89.36247023
509,17031170700,509,5791,579100,89.71581356
510,17031170600,510,5679,567900,88.80805046
511,17031160601,511,3281,328100,87.67664108
512,17031170300,512,13983,1398300,88.73615354
513,17031170400,513,7699,769900,89.28289704
514,17031530502,514,7350,735000,91.43106157
515,17031170500,515,15376,1537600,88.40063456
516,17031770902,516,392,39200,88.87429235
517,17031040300,517,7672,767200,87.05214985
518,17031140100,518,2865,286500,87.12581869
519,17031831800,519,19024,1902400,86.82858156
520,17031220400,520,3287,328700,88.59255854
521,17031210800,521,1633,163300,88.58527548
522,17031220300,522,3271,327100,88.73761113
523,17031830900,523,10328,1032800,88.95365567
524,17031161100,524,5759,575900,87.72476704
525,17031310800,525,3315,331500,88.85360553
526,17031161000,526,4262,426200,87.51697701
527,17031190401,527,6544,654400,89.65150075
528,17031190601,528,6910,691000,88.66988508
529,17031020801,529,6531,653100,85.87731066
530,17031491300,530,6470,647000,90.88657757
531,17031491200,531,6483,648300,91.49561577
532,17031530100,532,6505,650500,90.23929677
533,17031020901,533,4876,487600,85.75320881
534,17031491400,534,8281,828100,89.43042226
535,17031491000,535,12763,1276300,91.00445694
536,17031490700,536,6381,638100,90.0044155
537,17031490902,537,11955,1195500,90.13514855
538,17031491100,538,13238,1323800,90.87864921
